
Predictions were generated on 24-Sep-2024 at 14:46:03 using OpenFAST, compiled as a 64-bit application using single precision at commit v3.5.3
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: Generated with AeroElasticSE FAST driver

Time	LSSTipMys	LSSTipMzs	LSShftFys	LSShftFzs	RootMyb1	RootMyb2	RootMyb3	TipDxb1	TipDxb2	TipDxb3	TipDxc1	TipDxc2	TipDxc3	TipDyb1	TipDyb2	TipDyb3	TipDyc1	TipDyc2	TipDyc3	TipDzb1	TipDzb2	TipDzb3	TipDzc1	TipDzc2	TipDzc3	TwrBsMyt
(s)	(kN-m)	(kN-m)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(kN-m)
    0.0000	 5.387E+02	-7.597E+00	 1.736E+00	-4.839E+02	 9.713E+02	 2.501E+02	 2.561E+02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-2.259E+03
    0.0100	 3.668E+02	-1.733E+01	 8.181E+00	-4.932E+02	 2.224E+03	 1.650E+03	 1.670E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-2.192E+03
    0.0200	 3.742E+02	-6.081E+01	 1.580E+01	-4.938E+02	 2.224E+03	 1.617E+03	 1.688E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-2.057E+03
    0.0300	 3.302E+02	-2.588E+01	 7.421E+00	-4.942E+02	 2.191E+03	 1.643E+03	 1.678E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-1.921E+03
    0.0400	 2.957E+02	-3.776E+01	 9.513E+00	-4.951E+02	 2.173E+03	 1.649E+03	 1.700E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-1.692E+03
    0.0500	 2.537E+02	-3.908E+01	 8.695E+00	-4.962E+02	 2.140E+03	 1.653E+03	 1.708E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-1.413E+03
    0.0600	 2.009E+02	-3.842E+01	 7.829E+00	-4.974E+02	 2.103E+03	 1.665E+03	 1.720E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-1.084E+03
    0.0700	 1.409E+02	-3.655E+01	 6.818E+00	-4.989E+02	 2.061E+03	 1.679E+03	 1.733E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-7.076E+02
    0.0800	 7.428E+01	-3.363E+01	 5.717E+00	-5.004E+02	 2.014E+03	 1.695E+03	 1.746E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-2.904E+02
    0.0900	 2.202E+00	-2.968E+01	 4.542E+00	-5.021E+02	 1.963E+03	 1.713E+03	 1.759E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 1.621E+02
    0.1000	-7.434E+01	-2.477E+01	 3.317E+00	-5.039E+02	 1.909E+03	 1.734E+03	 1.772E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 6.436E+02
    0.1100	-1.542E+02	-1.900E+01	 2.067E+00	-5.058E+02	 1.852E+03	 1.756E+03	 1.784E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 1.147E+03
    0.1200	-2.362E+02	-1.246E+01	 8.156E-01	-5.077E+02	 1.794E+03	 1.779E+03	 1.796E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 1.666E+03
